,Script_Index,Phrase,Tokens,Nbr_tokens,Type_voix,Genre,Script_Original
3584,3328,"L'hybride, c'est bien.","['le', 'hybride', 'ce', 'être', 'bien']",5,Voix-off,Femme,"Voix femme : "" L'hybride, c'est bien. 
 ... En version Dolcevita, ... 
 ... c'est mieux !
 
 
 ... FIAT 500, désormais 500% hybride. """
3585,3329,"OK Google, envoie l'adresse du travail à mon JUKE !","['ok', 'google', 'envoyer', 'le', 'adresse', 'de', 'travail', 'à', 'mon', 'juke']",10,Acteur,Homme,"L'homme (1) : "" OK Google, envoie l'adresse du travail à mon JUKE ! ""
 
 
 
 
 
 
 
 
 Voix homme (2) : "" Conduire devrait toujours faire cet effet-là !
 (2) ... Nouveau NISSAN JUKE, le crossover coupé compatible avec l'assistant Google.
 
 (1) ... Venez l'essayer pendant les portes ouvertes du 17 au 19 janvier. """
3586,3330,Non.,['non'],1,Acteur,Homme,"L'homme (1)  : "" Non.
 
 
 
 (1) ... Non. ""
 
 
 
 
 
 Voix femme (2)  : "" Déconnectez plus souvent.
 (2) ... SUV CITROEN C5 AIRCROSS à partir de 239 euros par mois.
 Voix femme (3) : "" CITROEN.""
 (2) ... Et en ce moment, profitez d'offres exceptionnelles sur la gamme SUV CITROEN. Portes ouvertes ce week-end. """
3587,3331,Nous avons équipé ...,"['nous', 'avoir', 'équiper']",3,Voix-off,Femme,"Voix femme : "" Nous avons équipé ...
 ... le nouveau VOLVO XC90 ...
 ... d'une motorisation hybride rechargeable ...
 
 ... pour des trajets quotidiens ...
 ... 100 % électriques.
 
 ... La sécurité d'aujourd'hui. La protection de leur avenir.
 
 
 
 
 ... Et avec jusqu'à un an de recharge offert. N'attendons plus pour évoluer ! """
3588,3332,Non mais je rêve ! C'est le nouveau KIA XCEED !,"['non', 'mais', 'je', 'rêve', 'ce', 'être', 'le', 'nouveau', 'kia', 'xceed']",10,Acteur,Homme,"Voix homme (1) : "" Découvrez le nouveau KIA XCEED.
 
 
 
 L'homme (2) : "" Non mais je rêve ! C'est le nouveau KIA XCEED !
 
 (2) ... T'es au courant ? ""
 
 
 
 
 
 
 
 
 
 
 (1) ... Nouveau KIA XCEED, tellement évident.
 (1) ... Nouveau KIA XCEED à partir de 247 euros par mois, sans apport.
 (1) ... Garantie 7 ans KIA, preuve de qualité. ""
 Voix homme (3) : "" KIA, the power to surprise. """
3589,3333,Découvrez le SUV MINI COUNTRYMAN  Edition Longstone.,"['découvrir', 'le', 'suv', 'mini', 'countryman', 'edition', 'longstone']",7,Voix-off,Homme,"Voix homme : "" Découvrez le SUV MINI COUNTRYMAN  Edition Longstone.
 ... Dès 340 euros par mois sans aucun apport. Disponible aussi en 4 roues motrices. """
3590,3334,"C'est Paul, il me quitte, ...","['ce', 'être', 'paul', 'il', 'me', 'quitte']",6,Acteur,Femme,"La femme (1) : "" C'est Paul, il me quitte, ...
 (1) ... il faut absolument que j'aille lui parler !
 (1) ... Tu peux me prêter ta voiture ? ""
 La femme (2) : "" Mais évidemment ! ""
 
 Voix homme (3) : "" Prête à tout pour essayer ...
 (3) ... la PEUGEOT 108 ...
 
 (3) ... Chez PEUGEOT vous êtes doublement gagnants.
 (3) ... Profitez de 2500 euros de reprise et de 0 euro de malus écologique."
3591,3334,Mais évidemment !,"['mais', 'évidemment']",2,Acteur,Femme,"La femme (1) : "" C'est Paul, il me quitte, ...
 (1) ... il faut absolument que j'aille lui parler !
 (1) ... Tu peux me prêter ta voiture ? ""
 La femme (2) : "" Mais évidemment ! ""
 
 Voix homme (3) : "" Prête à tout pour essayer ...
 (3) ... la PEUGEOT 108 ...
 
 (3) ... Chez PEUGEOT vous êtes doublement gagnants.
 (3) ... Profitez de 2500 euros de reprise et de 0 euro de malus écologique."
3592,3335,"T'es prêt, on...","['te', 'être', 'prêt', 'on']",4,Acteur,Femme,"La femme (1) : "" T'es prêt, on...
 
 
 L'homme (2) : "" Mais non ! Le dossier Mc André ! Je plaide dans 1h !
 
 (2) ... Je sais, j'ai une copie du dossier chez moi. Faut juste que tu me prêtes ta voiture. ""
 (1) ... Ok ! ""
 
 Voix homme (3) : "" Prêt à tout pour essayer la PEUGEOT 308.
 (3) ... Chez PEUGEOT, vous êtes doublement gagnants.
 
 
 (3) ... Profitez de 4 000 euros de reprise et de 0 euro de malus écologique."
3593,3335,Mais non ! Le dossier Mc André ! Je plaide dans 1h !,"['mais', 'non', 'le', 'dossier', 'mc', 'andré', 'je', 'plaider', 'dans', '1h']",10,Acteur,Homme,"La femme (1) : "" T'es prêt, on...
 
 
 L'homme (2) : "" Mais non ! Le dossier Mc André ! Je plaide dans 1h !
 
 (2) ... Je sais, j'ai une copie du dossier chez moi. Faut juste que tu me prêtes ta voiture. ""
 (1) ... Ok ! ""
 
 Voix homme (3) : "" Prêt à tout pour essayer la PEUGEOT 308.
 (3) ... Chez PEUGEOT, vous êtes doublement gagnants.
 
 
 (3) ... Profitez de 4 000 euros de reprise et de 0 euro de malus écologique."
3594,3337,"Nouvelle année, nouveaux modèles.","['nouveau', 'année', 'nouveau', 'modèle']",4,Voix-off,Femme,"Voix femme : "" Nouvelle année, nouveaux modèles.
 ... En janvier, essayez la nouveauté chez RENAULT. Nouvelle RENAULT TWINGO, à partir de 99 euros par mois avec 4 ans d'entretien inclus.  """
3595,3338,Qu'est-ce que le pouvoir ?,"['que', 'être', '-ce', 'que', 'le', 'pouvoir']",6,Voix-off,Homme,"Voix homme : "" Qu'est-ce que le pouvoir ?
 ... Est-il lié à la richesse ?
 
 ... Ou au statut ?
 ... L'important est-il ...
 ... d'être reconnu ?
 
 ... Ou de se connaître soi-même ?
 
 
 
 ... Le pouvoir appartient-il ...
 ... à ceux qui crient le plus fort ?
 
 ... Ou à ceux qui se font entendre.
 ... Nouveau LEXUS RX, un pouvoir d'un nouveau genre. """
3596,3339,Aaaaaaah !!!,['aaaaaaah'],1,Acteur,Indéterminé,"L'enfant (1) : "" Aaaaaaah !!!
 
 
 
 (1 devenu ado) ... Prêt ? ""
 
 
 
 
 Voix homme (2) : "" POLO équipée de la technologie ""Front assist"" de série ...
 (2) ... et en ce moment la POLO EDITION est à partir de 129 euros par mois. ""
 Voix femme (3) : "" VOLKSWAGEN. """
3597,3340,Non.,['non'],1,Acteur,Homme,"L'homme (1)  : "" Non.
 
 
 
 (1) ... Non. ""
 
 
 
 
 
 Voix femme (2)  : "" Déconnectez plus souvent.
 (2) ... SUV CITROEN C5 AIRCROSS à partir de 239 euros par mois.
 Voix femme (3) : "" CITROEN.""
 (2) ... Et en ce moment, profitez d'offres exceptionnelles sur la gamme SUV CITROEN. """
3598,3341,C'est pas vrai !,"['ce', 'être', 'pas', 'vrai']",4,Acteur,Homme,"L'homme (1) : "" C'est pas vrai !
 (1) ... Ecran multimédia, ...
 (1) ... climatisation automatique, ...
 (1) ... caméra de recul !
 L'homme (2) : "" Vas-y molo quand même, hein !
 (1) ... Et même carte mains-libres !!! ""
 (2) ... Rends-moi ça, tu vas l'abîmer ! ""
 
 Voix homme (3) : "" Roulez en DUSTER au prix d'un magazine.
 (3) ... DACIA DUSTER est à partir de 5 euros par jour, ...
 (3) ...  soit 150 euros par mois sans apport. """
3599,3341,"Vas-y molo quand même, hein !","['vas', 'y', 'molo', 'quand', 'même', 'hein']",6,Acteur,Homme,"L'homme (1) : "" C'est pas vrai !
 (1) ... Ecran multimédia, ...
 (1) ... climatisation automatique, ...
 (1) ... caméra de recul !
 L'homme (2) : "" Vas-y molo quand même, hein !
 (1) ... Et même carte mains-libres !!! ""
 (2) ... Rends-moi ça, tu vas l'abîmer ! ""
 
 Voix homme (3) : "" Roulez en DUSTER au prix d'un magazine.
 (3) ... DACIA DUSTER est à partir de 5 euros par jour, ...
 (3) ...  soit 150 euros par mois sans apport. """
3600,3342,Nouvelle JEEP RENEGADE QUICKSILVER WINTER EDITION.,"['nouveau', 'jeep', 'renegade', 'quicksilver', 'winter', 'edition']",6,Voix-off,Homme,"Voix homme : "" Nouvelle JEEP RENEGADE QUICKSILVER WINTER EDITION.
 ... Un esprit d'aventure à partir de 219 euros par mois.
 
 ... Rendez-vous sur JEEP.FR. """
3601,3343,"Nouveau MAZDA CX30, hybride Skyactiv-x.","['nouveau', 'mazda', 'cx30', 'hybride', 'skyactiv', 'x.']",6,Voix-off,Homme,"Voix homme : "" Nouveau MAZDA CX30, hybride Skyactiv-x. 
 ... Drive together. """
3602,3344,Elle aura des phares en formet de dents de lions.,"['lui', 'avoir', 'un', 'phare', 'en', 'formet', 'de', 'dent', 'de', 'lion']",10,Acteur,Indéterminé,"Voix homme (1) : "" Pour toi, elle sera comment la voiture du futur ?
 L'enfant (2) : "" Elle aura des phares en formet de dents de lions. ""
 
 (1) ... Des dents de lion ?
 (1) ... C'est une voiture volante ?
 L'enfant (3) : "" Pourquoi faire ?
 (3) ... Non ! Elle aura un tableau de bord 3D pour qu'on soit au courant de tout, tout le temps. ""
 (1) ... Et pour toi elle roulera à l'essence ?
 Le garçon (4) : "" Oui mais elle sera aussi électrique avec un moteur qui fera un bruit comme ça.
 
 (1) ... Je n'entends rien. ""
(4) ... Exactement ! ""
 
 
 
 Voix homme (6) : "" Nouvelle PEUGEOT 208. Thermique ou électrique, le choix vous appartient. """
3603,3344,Pourquoi faire ?,"['pourquoi', 'faire']",2,Acteur,Indéterminé,"Voix homme (1) : "" Pour toi, elle sera comment la voiture du futur ?
 L'enfant (2) : "" Elle aura des phares en formet de dents de lions. ""
 
 (1) ... Des dents de lion ?
 (1) ... C'est une voiture volante ?
 L'enfant (3) : "" Pourquoi faire ?
 (3) ... Non ! Elle aura un tableau de bord 3D pour qu'on soit au courant de tout, tout le temps. ""
 (1) ... Et pour toi elle roulera à l'essence ?
 Le garçon (4) : "" Oui mais elle sera aussi électrique avec un moteur qui fera un bruit comme ça.
 
 (1) ... Je n'entends rien. ""
(4) ... Exactement ! ""
 
 
 
 Voix homme (6) : "" Nouvelle PEUGEOT 208. Thermique ou électrique, le choix vous appartient. """
3604,3344,Oui mais elle sera aussi électrique avec un moteur qui fera un bruit comme ça.,"['oui', 'mais', 'lui', 'être', 'aussi', 'électrique', 'avec', 'un', 'moteur', 'qui', 'faire', 'un', 'bruit', 'comme', 'cela']",15,Acteur,Homme,"Voix homme (1) : "" Pour toi, elle sera comment la voiture du futur ?
 L'enfant (2) : "" Elle aura des phares en formet de dents de lions. ""
 
 (1) ... Des dents de lion ?
 (1) ... C'est une voiture volante ?
 L'enfant (3) : "" Pourquoi faire ?
 (3) ... Non ! Elle aura un tableau de bord 3D pour qu'on soit au courant de tout, tout le temps. ""
 (1) ... Et pour toi elle roulera à l'essence ?
 Le garçon (4) : "" Oui mais elle sera aussi électrique avec un moteur qui fera un bruit comme ça.
 
 (1) ... Je n'entends rien. ""
(4) ... Exactement ! ""
 
 
 
 Voix homme (6) : "" Nouvelle PEUGEOT 208. Thermique ou électrique, le choix vous appartient. """
3605,3346,"Nouvelle RENAULT CLIO, profitez de l'instant.","['nouveau', 'renault', 'clio', 'profiter', 'de', 'le', 'instant']",7,Voix-off,Femme,"Voix femme : "" Nouvelle RENAULT CLIO, profitez de l'instant.
 
 ... Pendant les ventes flash, profitez d'offres exceptionnelles sur une sélection de véhicules RENAULT disponibles immédiatement. """
3606,3348,NISSAN LEAF 100% électrique ...,"['nissan', 'leaf', '100', 'électrique']",4,Voix-off,Homme,"Voix homme : "" NISSAN LEAF 100% électrique ...
 ... kilomètre après kilomètre ...
 ... faites le plein de sensations et d'économie.
 
 ... En ce moment chez NISSAN ayez le déclic électrique profitez de la prime à l'électrique de 10 000 euros pour tous. """
3607,3349,Les scientifiques nous disent ...,"['le', 'scientifique', 'nous', 'dire']",4,Voix-off,Homme,"Voix homme : "" Les scientifiques nous disent ...
 ... que l'homme qui vivra 200 ans est déjà né.
 ... Celui qui posera un pied sur Mars aussi ...
 ... qui sait...
 ... Mais ce qui est sûr, ...
 ... c'est que la nouvelle ...
 ... génération d'hybrides, elle, ...
 ... est déjà là.
 ... Electrique au quotidien, ...
 ... hybride pour aller plus loin.
 
 
 
 ... Nouvelle gamme PEUGEOT HYBRIDE RECHARGEABLE, unboring the future.  """
3608,3350,J'aime bien Ben !,"['je', 'aimer', 'bien', 'ben']",4,Acteur,Femme,"La femme (1) : "" J'aime bien Ben !
 L'homme (2) : "" J'aime bien Paul !
 (1) ... J'aime bien Ben !
 (2) ... Paul, c'est mieux, ça fait plus sérieux !
 (1) ... Je vais vraiment, vraiment l'appeler Ben !
 
 
 
 
 (1) ... C'est décidé, il s'appellera Ben !
 (2) ... Tu peux pas décider de ça seule !
 
 (2) ... Paul !
 (1) ... Ben ! 
(2) ... Paul !
(1) ... Ben !
 (2) ... Paul !
 (1) ... Ben !
 (2) ... Paul ... ""
(1) ... et Ben ! ""
 Voix homme (3) : "" OPEL GRANDLAND X hybride 4, le meilleur du SUV.
 (3) ... Le meilleur de l'hybride. ""
 (3) ... Et en ce moment, profitez de l'OPEL GRANDLAND X avec reprise de votre véhicule + 5500 €. """
3609,3350,J'aime bien Paul !,"['je', 'aimer', 'bien', 'paul']",4,Acteur,Homme,"La femme (1) : "" J'aime bien Ben !
 L'homme (2) : "" J'aime bien Paul !
 (1) ... J'aime bien Ben !
 (2) ... Paul, c'est mieux, ça fait plus sérieux !
 (1) ... Je vais vraiment, vraiment l'appeler Ben !
 
 
 
 
 (1) ... C'est décidé, il s'appellera Ben !
 (2) ... Tu peux pas décider de ça seule !
 
 (2) ... Paul !
 (1) ... Ben ! 
(2) ... Paul !
(1) ... Ben !
 (2) ... Paul !
 (1) ... Ben !
 (2) ... Paul ... ""
(1) ... et Ben ! ""
 Voix homme (3) : "" OPEL GRANDLAND X hybride 4, le meilleur du SUV.
 (3) ... Le meilleur de l'hybride. ""
 (3) ... Et en ce moment, profitez de l'OPEL GRANDLAND X avec reprise de votre véhicule + 5500 €. """
3610,3351,On a réveillé l'AUDI A3.,"['on', 'avoir', 'réveiller', 'le', 'audi', 'a3']",6,Voix-off,Femme,"Voix femme : "" On a réveillé l'AUDI A3.
 ... AUDI A3 SPORT limited.
 ... à partir de  290 euros par mois."
3611,3352,DS 3 CROSSBACK E-TENSE ELECTRIQUE ...,"['ds', '3', 'crossback', 'e-tense', 'electrique']",5,Voix-off,Homme,"Voix homme : "" DS 3 CROSSBACK E-TENSE ELECTRIQUE ...
 ... et DS3 CROSSBACK.
 ... Essayez-les 24 heures dans votre réseau DS Automobiles. """
3612,3353,"Ah pardon, pardon ! Je suis désolé !","['ah', 'pardon', 'pardon', 'je', 'être', 'désolé']",6,Acteur,Homme,"En choeur (1) : "" Papa ! ""
 L'homme (2) : "" Ah pardon, pardon ! Je suis désolé !
 La fille (3) : "" Mais on dormait là !
(2) ... Et comment je peux le savoir moi  ? Je peux deviner ?
 (2) ... On est une famille, faut se dire les choses ! ""
 
 
 Voix homme (3) : "" En ce moment, le TIGUAN est à partir de 279 euros par mois. """
3613,3354,Je suis sûr que c'est par là !,"['je', 'être', 'sûr', 'que', 'ce', 'être', 'par', 'là']",8,Acteur,Homme,"L'homme (1) : "" Je suis sûr que c'est par là !
 La fille (2) : "" Sinon on met le GPS ! ""
 (1) ... Mais non, je suis déjà venu 100 fois ici !
La femme (3) : "" Sinon on met le GPS ! ""
 (1) ... Mais toutes les routes se ressemblent aussi !
 L'enfant (4) : "" Sinon on met le GPS ! ""
 (1) ... Bon vous voulez vraiment qu'on mette le GPS, qu'on trouve et voilà et... ! 
 (1) ... Mais c'est nul !
 (1) ... En plus, t'as pas de bol, on est arrivé !
 (1) ... Ah bah non ! ""
 Voix homme (5) : "" En ce moment, le TIGUAN est à partir de 279 euros par mois. ""
 Voix femme (6) : "" VOLKSWAGEN. """
3614,3354,Sinon on met le GPS !,"['sinon', 'on', 'mettre', 'le', 'gps']",5,Acteur,Femme,"L'homme (1) : "" Je suis sûr que c'est par là !
 La fille (2) : "" Sinon on met le GPS ! ""
 (1) ... Mais non, je suis déjà venu 100 fois ici !
La femme (3) : "" Sinon on met le GPS ! ""
 (1) ... Mais toutes les routes se ressemblent aussi !
 L'enfant (4) : "" Sinon on met le GPS ! ""
 (1) ... Bon vous voulez vraiment qu'on mette le GPS, qu'on trouve et voilà et... ! 
 (1) ... Mais c'est nul !
 (1) ... En plus, t'as pas de bol, on est arrivé !
 (1) ... Ah bah non ! ""
 Voix homme (5) : "" En ce moment, le TIGUAN est à partir de 279 euros par mois. ""
 Voix femme (6) : "" VOLKSWAGEN. """
3615,3354,Sinon on met le GPS !,"['sinon', 'on', 'mettre', 'le', 'gps']",5,Acteur,Indéterminé,"L'homme (1) : "" Je suis sûr que c'est par là !
 La fille (2) : "" Sinon on met le GPS ! ""
 (1) ... Mais non, je suis déjà venu 100 fois ici !
La femme (3) : "" Sinon on met le GPS ! ""
 (1) ... Mais toutes les routes se ressemblent aussi !
 L'enfant (4) : "" Sinon on met le GPS ! ""
 (1) ... Bon vous voulez vraiment qu'on mette le GPS, qu'on trouve et voilà et... ! 
 (1) ... Mais c'est nul !
 (1) ... En plus, t'as pas de bol, on est arrivé !
 (1) ... Ah bah non ! ""
 Voix homme (5) : "" En ce moment, le TIGUAN est à partir de 279 euros par mois. ""
 Voix femme (6) : "" VOLKSWAGEN. """
3616,3355,"Plus de contrôle, ...","['plus', 'de', 'contrôle']",3,Voix-off,Homme,"Voix homme : "" Plus de contrôle, ...
 ... plus de confiance.
 ... Conduire devrait toujours faire cette effete là !
 ... Venez tester la technologie ProPilot du NISSAN QASHQAI chez votre concessionnaire.
 
 
 ... Pendant les booster NISSAN profitez d'une remise boosté de 5500 euros pour vous offrir toute les technologies du NISSAN QASHQAI. """
3617,3356,Elle aura des phares en formet de dents de lions.,"['lui', 'avoir', 'un', 'phare', 'en', 'formet', 'de', 'dent', 'de', 'lion']",10,Acteur,Indéterminé,"Voix homme (1) : "" Pour toi, elle sera comment la voiture du futur ?
L'enfant (2) : "" Elle aura des phares en formet de dents de lions. ""
 (1) ... Des dents de lion ?
 
 (1) ... C'est une voiture volante ?
 L'enfant (3) : "" Pourquoi faire ?
 (3) ... Non ! Elle aura un tableau de bord 3D pour qu'on soit au courant de tout, tout le temps. ""
 (1) ... Et pour toi elle roulera à l'essence ?
 Le garçon (4) : "" Oui mais elle sera aussi électrique avec un moteur qui fera un bruit comme ça.
 
 
 (1) ... Je n'entends rien. ""
(4) ... Exactement ! ""
 
 
 Voix homme (6) : "" Nouvelle PEUGEOT 208. Thermique ou électrique, le choix vous appartient. """
3618,3356,Pourquoi faire ?,"['pourquoi', 'faire']",2,Acteur,Indéterminé,"Voix homme (1) : "" Pour toi, elle sera comment la voiture du futur ?
L'enfant (2) : "" Elle aura des phares en formet de dents de lions. ""
 (1) ... Des dents de lion ?
 
 (1) ... C'est une voiture volante ?
 L'enfant (3) : "" Pourquoi faire ?
 (3) ... Non ! Elle aura un tableau de bord 3D pour qu'on soit au courant de tout, tout le temps. ""
 (1) ... Et pour toi elle roulera à l'essence ?
 Le garçon (4) : "" Oui mais elle sera aussi électrique avec un moteur qui fera un bruit comme ça.
 
 
 (1) ... Je n'entends rien. ""
(4) ... Exactement ! ""
 
 
 Voix homme (6) : "" Nouvelle PEUGEOT 208. Thermique ou électrique, le choix vous appartient. """
3619,3356,Oui mais elle sera aussi électrique avec un moteur qui fera un bruit comme ça.,"['oui', 'mais', 'lui', 'être', 'aussi', 'électrique', 'avec', 'un', 'moteur', 'qui', 'faire', 'un', 'bruit', 'comme', 'cela']",15,Acteur,Homme,"Voix homme (1) : "" Pour toi, elle sera comment la voiture du futur ?
L'enfant (2) : "" Elle aura des phares en formet de dents de lions. ""
 (1) ... Des dents de lion ?
 
 (1) ... C'est une voiture volante ?
 L'enfant (3) : "" Pourquoi faire ?
 (3) ... Non ! Elle aura un tableau de bord 3D pour qu'on soit au courant de tout, tout le temps. ""
 (1) ... Et pour toi elle roulera à l'essence ?
 Le garçon (4) : "" Oui mais elle sera aussi électrique avec un moteur qui fera un bruit comme ça.
 
 
 (1) ... Je n'entends rien. ""
(4) ... Exactement ! ""
 
 
 Voix homme (6) : "" Nouvelle PEUGEOT 208. Thermique ou électrique, le choix vous appartient. """
3620,3357,La rue Pasteur ?,"['le', 'rue', 'pasteur']",3,Acteur,Homme,"Le jeune (1) : "" La rue Pasteur ? 
L'homme (2) : "" Oui, s'il vous plaît !
 (1) ... Ouais, c'est juste derrière là !
(2) ... Bon bah c'est parfait, on va se garer là !
 La femme (3) : "" T'es sûr ?  ""
(2) ... Mais oui !
 (2) ... Comme ça, ils pourront jeter un oeil sur la voiture !
 (2) ... Ah ah ! ""
 Voix homme (4) : "" On peut douter de tout, mais pas de sa VOLKSWAGEN.
 (4) ... Découvrez tous nos véhicules en stock ... 
 (4) ... et disponibles immédiatement sur VOLKSWAGEN.FR.  ""
 Voix femme (5) : "" VOLKSWAGEN. """
